Year,Race,Count,Percentage
2009,Other,37.2,31.1
2010,Other,30.3,25.5
2011,Other,33.0,30.2
2012,Other,43.9,40.0
2013,Other,63.1,46.0
2014,Other,72.2,48.8
2003,Other,43.1,18.1
2004,Other,39.8,18.4
2005,Other,42.9,16.6
2006,Other,40.4,17.6
2007,Other,40.3,15.9
2008,Other,46.7,18.6
2010,Other,39.1,15.0
2011,Other,53.6,20.2
2012,Other,73.5,19.4
2013,Other,58.8,16.7
2014,Other,51.7,13.9
